Detection_Rate,N_Detected,Mean_Abundance,Median_Abundance,SD_Abundance,CV_Percent,Min_Abundance,Max_Abundance,Gene,Accession,Description
100.0,120,59771354.26018179,48554943.155141205,72640271.3589253,121.5302417989824,28084032.4640146,795118804.117951,HBB,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2
100.0,120,1072056272.1512235,1051338912.30971,137987299.5880394,12.871273940793193,831904816.368101,1516445964.79176,APOC1,P02654,Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1
100.0,120,974220616.3398348,943056635.45163,204050829.5286904,20.945032994201377,541055952.070752,1481110447.34406,ZYX,Q15942,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1
100.0,120,721750432.6723849,654129419.3460491,245595480.52997166,34.02775660564817,325257915.173403,1545716657.76917,LIMS1,P48059,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens OX=9606 GN=LIMS1 PE=1 SV=4
100.0,120,663572636.1745931,595483972.7993486,272767844.06625193,41.105951209610126,241301944.326147,1503786697.92743,APOD,C9JF17,Apolipoprotein D (Fragment) OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1
100.0,120,575652735.0264752,561851910.78282,97810368.51355423,16.99121059662051,316305315.310842,823426564.148541,SELL,P14151,L-selectin OS=Homo sapiens OX=9606 GN=SELL PE=1 SV=2
100.0,120,397517964.81384474,392635505.04347503,75091276.8475849,18.890033531629115,188768923.726835,588219858.29102,SKAP2,O75563,Src kinase-associated phosphoprotein 2 OS=Homo sapiens OX=9606 GN=SKAP2 PE=1 SV=1
100.0,120,1260496594.4842024,1270478930.155925,162012801.99726212,12.85309319408023,937160488.547784,1654146339.15255,EHD3,Q9NZN3,EH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EHD3 PE=1 SV=2
100.0,120,734018685.5252551,739378496.0426819,318197761.07207304,43.35009003815407,92469782.8351029,1569194670.52059,F2,P00734,Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2
100.0,120,402401910.5694797,393020627.4325955,100255018.62826623,24.914150752014372,40247500.4077096,752972338.400497,ITIH1,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3
100.0,120,56004601.528595656,55893025.09000355,17834105.40922274,31.844000175801163,18618809.9385964,145470625.713954,IGLC6,P0CF74,Immunoglobulin lambda constant 6 OS=Homo sapiens OX=9606 GN=IGLC6 PE=1 SV=1
100.0,120,444427458.49224865,442173812.19967604,126764106.43152349,28.523014050837364,159281797.271724,770402005.326491,RAC1,P63000,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1
100.0,120,489273899.34607494,464340118.07622397,105865717.61566213,21.637311484866437,225923523.385008,986407160.244467,PIP4K2A,P48426,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens OX=9606 GN=PIP4K2A PE=1 SV=2
100.0,120,540773554.4465878,504225807.7131355,170851594.3583413,31.593925581879823,333217404.822941,1825883575.79899,LTF,P02788,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6
100.0,120,218316148.5554362,215162426.231452,59343172.95666636,27.182218699501092,74438629.6886266,496515900.492111,RALB,P11234,Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1
100.0,120,881362250.179197,860013626.6354585,200249249.238573,22.72042502363344,473281338.180861,2306596392.04111,C1S,P09871,Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1
100.0,120,64554278.89931175,58581271.675636,23916032.49314285,37.04794306578155,31365195.3016143,157131832.386527,TUBA1B,P68363,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1
100.0,120,450828222.0577386,413725110.0605875,134128637.35801287,29.751606220613823,161877118.177981,828347473.232462,AHSG,P02765,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2
100.0,120,8871896.882605877,7852812.22548284,4380147.684439244,49.37103916330343,2566141.49640146,30933718.6818251,EPHX1,P07099,Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1
100.0,120,192536042.38309765,186375813.493365,35029553.193188086,18.193764014058313,138573356.862086,356839999.048432,SERPINA5,P05154,Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3
100.0,120,115162260.82467435,114680286.419581,36714906.08871861,31.881022329540937,41818452.7619845,389830669.662837,SYNCRIP,O60506,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2
100.0,120,446579501.5954315,442392564.0857055,92855287.70013109,20.79255482358687,250793223.587635,699470840.088084,CFHR1,Q03591,Complement factor H-related protein 1 OS=Homo sapiens OX=9606 GN=CFHR1 PE=1 SV=2
100.0,120,120863976.00721884,111946271.499886,47208637.103819236,39.059311685228366,47112094.4502097,405674143.487592,RAN,P62826,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3
100.0,120,62357841.28266583,59390388.58188926,18767968.903132837,30.097207531701294,25860047.8333108,120883222.315206,TTR,P02766,Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1
100.0,120,465242925.32898587,477398503.6046965,87749262.36606306,18.86095576929261,242007478.400751,696442543.591906,WIPF1,O43516,WAS/WASL-interacting protein family member 1 OS=Homo sapiens OX=9606 GN=WIPF1 PE=1 SV=3
