Group,N_Samples,Mean_Proteins_Detected,Median_Proteins_Detected,Mean_Abundance_Overall,Median_Abundance_Overall,SD_Abundance_Overall
Set1_Old,60,59.4952380952381,88.33333333333333,140655034.12462246,6778844.46095672,34967447.62251328
Set2_Fresh,60,54.62023809523809,70.0,156442834.82224077,7775451.946311035,41504379.550976045
Set1_Sarcoidosis,30,59.964285714285715,90.0,143148181.08558667,7333075.07513441,34920311.60505771
Set1_Control,30,59.02619047619048,90.0,144473857.32186776,7569662.866300469,34534703.03897966
Set2_Sarcoidosis,30,54.80476190476191,73.33333333333333,160939225.12313816,9077085.518752266,42990757.45383616
Set2_Control,30,54.43571428571428,70.0,163665041.1891178,8667356.952427516,39949549.66271419
