Gene,Accession,Description,Mean_Group1,Mean_Group2,Log2FC,P_value,T_statistic,Cohens_d,FDR
IGKV3-20,P01619,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2,27.09932009150934,26.52272774853805,0.576592342971292,0.00024247432856196971,3.9123254894193398,1.0101580976975923,0.0027788604704979698
RAC2,P15153,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1,28.23137769439318,28.39149521228442,-0.16011751789123707,0.19101841280456877,-1.3230282457558538,-0.34160442415829567,0.37245083426888376
JUP,P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,26.819807327879897,26.44497368213923,0.37483364574066513,2.8726015206231604e-05,4.541718618699968,1.1726667048923418,0.0004669443084033362
PARVB,Q9HBI1,Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1,28.114323565403673,28.485373223343462,-0.37104965793978906,0.0036246167805891105,-3.0323696015986243,-0.7829544644358062,0.02273234067511202
CDHR2,Q9BYE9,Cadherin-related family member 2 OS=Homo sapiens OX=9606 GN=CDHR2 PE=1 SV=2,20.435773894880118,19.153394938028985,1.282378956851133,0.0009449345916826439,3.4847164287383454,0.899749912983933,0.007941230230043056
AMBP,P02760,Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1,27.633433688830912,27.60067729709608,0.032756391734832135,0.7353184859577603,0.3396880658310095,0.08770708145792724,0.847026568276805
HBA1; HBA2,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,28.508921728809163,28.510252454932388,-0.0013307261232249346,0.991421666468131,-0.01079799986459811,-0.002788031576529228,0.9959075389632247
HPSE,Q9Y251,Heparanase OS=Homo sapiens OX=9606 GN=HPSE PE=1 SV=2,27.09180795962471,27.00585422944203,0.08595373018268049,0.1610463450034129,1.4197048357416677,0.36656621235717435,0.3310641339899316
SEC22B,O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,20.99263701297775,20.80489883125585,0.1877381817218975,0.49006212574399244,0.6946274450494451,0.17935203509967387,0.6649650479643782
IGKV4-1,P06312,Immunoglobulin kappa variable 4-1 OS=Homo sapiens OX=9606 GN=IGKV4-1 PE=1 SV=1,22.63095890593501,22.83264731048371,-0.20168840454870107,0.10737126048530357,-1.6354482210780485,-0.42227091492132185,0.2566098829892663
RASGRP2,Q7LDG7,RAS guanyl-releasing protein 2 OS=Homo sapiens OX=9606 GN=RASGRP2 PE=1 SV=1,27.0665495538668,27.002014711869457,0.06453484199734305,0.5114163220995336,0.6607065805254551,0.17059370554031578,0.6766496686914926
BANF1,O75531,Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1,25.40295926560245,25.961791658793352,-0.558832393190901,1.0504893349170781e-06,-5.4567981442012465,-1.408939222407131,2.5745069392660084e-05
SYTL4,Q96C24,Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,27.388352173969405,27.30638133804007,0.08197083592933652,0.5276207599822972,0.6354708163544615,0.1640778592494441,0.6929823256762744
FLG2,Q5D862,Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,27.847133522536968,27.862978022375092,-0.015844499838124193,0.791578542415824,-0.26548329011068705,-0.06854749075300288,0.8791711498586963
ARL8B,Q9NVJ2,ADP-ribosylation factor-like protein 8B OS=Homo sapiens OX=9606 GN=ARL8B PE=1 SV=1,28.1577898122011,27.97667808843801,0.18111172376308815,0.0011568422459909352,3.4187869329372247,0.8827269903664935,0.009499225246719381
LASP1,Q14847,LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2,28.971757541215517,29.295127692199724,-0.32337015098420707,0.40528294838046397,-0.8383374106262101,-0.21645778865719736,0.590142355365703
INF2,Q27J81,Inverted formin-2 OS=Homo sapiens OX=9606 GN=INF2 PE=1 SV=2,27.62984945917162,27.986848028810076,-0.35699856963845633,0.0006244821662351641,-3.617654800472972,-0.9340744529706091,0.005832487651645788
